[2025-12-10T17:58:53.184509600] Client UI started
[2025-12-10T17:59:26.693052100] Upload progress: 49152/71349
[2025-12-10T17:59:26.693567500] Upload progress: 49664/71349
[2025-12-10T17:59:26.693567500] Upload progress: 50176/71349
[2025-12-10T17:59:26.694077900] Upload progress: 50688/71349
[2025-12-10T17:59:26.694077900] Upload progress: 51200/71349
[2025-12-10T17:59:26.694585500] Upload progress: 51712/71349
[2025-12-10T17:59:26.695104400] Upload progress: 52224/71349
[2025-12-10T17:59:26.695104400] Upload progress: 52736/71349
[2025-12-10T17:59:26.695662300] Upload progress: 53248/71349
[2025-12-10T17:59:26.695662300] Upload progress: 53760/71349
[2025-12-10T17:59:26.696175400] Upload progress: 54272/71349
[2025-12-10T17:59:26.696175400] Upload progress: 54784/71349
[2025-12-10T17:59:26.696691200] Upload progress: 55296/71349
[2025-12-10T17:59:26.696691200] Upload progress: 55808/71349
[2025-12-10T17:59:26.697203100] Upload progress: 56320/71349
[2025-12-10T17:59:26.697203100] Upload progress: 56832/71349
[2025-12-10T17:59:26.697718] Upload progress: 57344/71349
[2025-12-10T17:59:26.697718] Upload progress: 57856/71349
[2025-12-10T17:59:26.697718] Upload progress: 58368/71349
[2025-12-10T17:59:26.698229900] Upload progress: 58880/71349
[2025-12-10T17:59:26.698229900] Upload progress: 59392/71349
[2025-12-10T17:59:26.698744300] Upload progress: 59904/71349
[2025-12-10T17:59:26.698744300] Upload progress: 60416/71349
[2025-12-10T17:59:26.699257300] Upload progress: 60928/71349
[2025-12-10T17:59:26.699257300] Upload progress: 61440/71349
[2025-12-10T17:59:26.699776300] Upload progress: 61952/71349
[2025-12-10T17:59:26.699776300] Upload progress: 62464/71349
[2025-12-10T17:59:26.699776300] Upload progress: 62976/71349
[2025-12-10T17:59:26.699776300] Upload progress: 63488/71349
[2025-12-10T17:59:26.700795500] Upload progress: 64000/71349
[2025-12-10T17:59:26.700795500] Upload progress: 64512/71349
[2025-12-10T17:59:26.700795500] Upload progress: 65024/71349
[2025-12-10T17:59:26.700795500] Upload progress: 65536/71349
[2025-12-10T17:59:26.701801400] Upload progress: 66048/71349
[2025-12-10T17:59:26.701801400] Upload progress: 66560/71349
[2025-12-10T17:59:26.701801400] Upload progress: 67072/71349
[2025-12-10T17:59:26.701801400] Upload progress: 67584/71349
[2025-12-10T17:59:26.702801900] Upload progress: 68096/71349
[2025-12-10T17:59:26.702801900] Upload progress: 68608/71349
[2025-12-10T17:59:26.702801900] Upload progress: 69120/71349
[2025-12-10T17:59:26.702801900] Upload progress: 69632/71349
[2025-12-10T17:59:26.702801900] Upload progress: 70144/71349
[2025-12-10T17:59:26.702801900] Upload progress: 70656/71349
[2025-12-10T17:59:26.702801900] Upload progress: 71168/71349
[2025-12-10T17:59:26.704305800] Upload progress: 71349/71349
[2025-12-10T17:59:26.705329100] Upload completed: C:\Users\anna\Desktop\курсач.docx
[2025-12-10T17:59:50.957419500] Starting download request: remote=test.txt, server=127.0.0.1:69
[2025-12-10T18:00:00.240380900] Saving file to: C:\Users\anna\Desktop\university\5 семестр\tftp-client-server\client_downloads\test.txt
[2025-12-10T18:00:01.140617800] Connecting to server 127.0.0.1:69
[2025-12-10T18:00:01.140617800] Downloading file: test.txt
[2025-12-10T18:00:01.144189300] CLIENT: RRQ sent for file: test.txt
[2025-12-10T18:00:01.150679200] CLIENT: Server data port set to 62078
[2025-12-10T18:00:01.151775300] Download progress: 512/-1
[2025-12-10T18:00:01.152786300] Download progress: 512/-1
[2025-12-10T18:00:01.154289900] Download completed: C:\Users\anna\Desktop\university\5 семестр\tftp-client-server\client_downloads\test.txt
